c938	_LC938
c93c	__vdu_23_vduv
c93f	_VDU_23_CTRL
c951	_LC951
c954	_LC954
c958	_VDU_23_SET_CRTC
c95e	_LC95E
c967	_BC967
c972	_BC972
c985	_BC985
c98b	_BC98B
c98c	_VDU_25
c994	_LC994
c9a4	_LC9A4
c9b3	_BC9B3
c9bd	_VDU_26
c9c1	_BC9C1
c9f6	_LC9F6
ca02	_LCA02
ca0e	_BCA0E
ca27	_BCA27
ca2b	_LCA2B
ca39	_VDU_24
ca7a	_BCA7A
ca81	_LCA81
ca88	_LCA88
ca98	_BCA98
caa1	_BCAA1
caa2	_VDU_29
caac	_VDU_127
cac2	__vdu_del_mode7
cac7	__vdu_del_modeX
cad4	_LCAD4
cae0	_BCAE0
cae3	_LCAE3
caea	_BCAEA
cb0e	_BCB0E
cb14	_LCB14
cb19	_BCB19
cb1c	_BCB1C
cb1d	_VDU_INIT_MODE
cb24	__vdu_mode_init_loop
cb33	_LCB33
cb3a	_BCB3A
cb56	_BCB56
cb5e	_BCB5E
cbb0	_BCBB0
cbc1	_LCBC1
cbf3	_OSWORD_10
cbf8	_BCBF8
cc02	_VDU_CLEAR
ccf5	_VDU_JUMP
ccf8	_LCCF8
cd06	_BCD06
cd07	_OSBYTE_20
cd10	_BCD10
cd1c	_BCD1C
cd24	_BCD24
cd34	_BCD34
cd3f	_LCD3F
cd47	_BCD47
cd4f	_BCD4F
cd59	_BCD59
cd65	_BCD65
cd66	_BCD66
cd6a	_LCD6A
cd77	_LCD77
cd78	_BCD78
cd79	_BCD79
cd7a	_LCD7A
cd8f	_BCD8F
cd97	_BCD97
cd99	_BCD99
cda4	_LCDA4
cdb0	_BCDB0
cdb8	_BCDB8
cdc0	_BCDC0
cdc6	_BCDC6
cdce	_LCDCE
cdda	_LCDDA
cdde	_LCDDE
cde2	_LCDE2
cde4	_LCDE4
cde6	_LCDE6
cde8	_BCDE8
cdea	_BCDEA
cdff	_LCDFF
ce0b	_BCE0B
ce14	_BCE14
ce1c	_BCE1C
ce22	_BCE22
ce2a	_LCE2A
ce38	_LCE38
ce3f	_BCE3F
ce4d	_BCE4D
ce52	_BCE52
ce5a	_BCE5A
ce5b	_LCE5B
ce6e	_LCE6E
ce73	_LCE73
ce7f	_BCE7F
ce83	_BCE83
